Epoch [263/272], Loss: 0.012960669451526232
Epoch [264/272], Loss: 0.012934234215035326
Epoch [265/272], Loss: 0.01302797876534954
Epoch [266/272], Loss: 0.012920684875949981
Epoch [267/272], Loss: 0.013005325570702553
Epoch [268/272], Loss: 0.014013232397181647
Epoch [269/272], Loss: 0.013106648795424945
Epoch [270/272], Loss: 0.013129734567233495
Epoch [271/272], Loss: 0.013097160643646641
Epoch [272/272], Loss: 0.013057199927667776

